_id,OID,Tipo Organismo,INCISO,UE,Nombre Inciso,Nombre UE,Nombre Organismo,DENOMINACIÓN DEL CARGO,ESCALAFON,GRADO,2022.0
1,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Ministro de Estado,P,S/D,309439.71
2,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Subsecretario de Estado,P,S/D,263023.75
3,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Director General de Secretaría,Q,S/D,216607.8
4,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Jefe de Política Económica,Q,S/D,127737.78
5,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Director Nacional,Q,S/D,185663.83
6,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Gerente de Área de Calidad y Gestión del Cambio,CO3,17,184721.24
7,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Gerente Financiero Contable,A,16,86132.56
8,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Gerente Técnico I Director de División,A,16,86132.56
9,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Gerente Técnico I Director de División,A,16,86132.56
10,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor I,A,15,81948.47
11,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor III,A,14,78224.71
12,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor III,A,13,74941.49
13,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor IV,A,12,72079.73
14,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor III,A,11,69580.53
15,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor V,A,10,67139.95
16,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor IX,A,7,61627.39
17,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Asesor XII,A,4,56416.59
18,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Sub Gerente RRHH,B,15,81948.47
19,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico,B,15,81948.47
20,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico II,B,13,74941.49
21,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico III,B,12,72079.73
22,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico IV,B,11,69580.53
23,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico V,B,10,67139.95
24,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico VIII,B,7,61627.39
25,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Técnico XII,B,3,55487.93
26,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Director de División,C,13,74941.49
27,2.16.858.0.0.0.1.1.9.0,Ministerio,8,S/D,"Ministerio de Industria, Energía y Minería",S/D,"Ministerio de Industria, Energía y Minería",Director de Departamento,C,12,72079.73
